Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels
Microsoft Azure Well-Architected Framework - Cost optimization,https://docs.microsoft.com/en-us/learn/modules/azure-well-architected-cost-optimization/,6,"2,928","15,392",61.78%,"1,944","1,201","1,295",21,758.3638889,15.54024362,51,4.852941176,102,,,azure;azure-cost-management;azure-advisor;azure-monitor,solution-architect,intermediate
Protect your virtual machine settings with Azure Automation State Configuration,https://docs.microsoft.com/en-us/learn/modules/protect-vm-settings-with-dsc/,5,"2,726","23,194",49.42%,"2,430","1,201","1,386",6,995.6277778,21.91403766,54,4.847826087,46,"2,010","1,560",azure;azure-virtual-machines;azure-automation,administrator,beginner
Deploy Azure virtual machines from VHD templates,https://docs.microsoft.com/en-us/learn/modules/deploy-vms-from-vhd-templates/,6,"1,968","12,279",75.84%,"1,581","1,199","1,352",8,436.9513889,13.32168869,42,4.737704918,61,442,412,azure;azure-virtual-machines,solution-architect;administrator,beginner
Choose an Agile approach to software development,https://docs.microsoft.com/en-us/learn/modules/choose-an-agile-approach/,5,"3,000","14,258",59.96%,"1,998","1,198","1,253",3,782.8044444,15.65608889,40,4.836734694,98,,,azure-devops,devops-engineer;administrator;developer;solution-architect,beginner
React to state changes in your Azure services by using Event Grid,https://docs.microsoft.com/en-us/learn/modules/react-to-state-changes-using-event-grid/,6,"2,923","33,344",45.70%,"2,619","1,197","1,346",1,1006.657222,20.66350781,33,4.476190476,63,"2,587","1,751",azure;azure-event-grid;azure-logic-apps,solution-architect,intermediate
Build a web app with Blazor,https://docs.microsoft.com/en-us/learn/modules/build-blazor-webassembly-visual-studio-code/,8,"7,276","41,613",24.33%,"4,908","1,194",661,6,1827.758611,15.07222604,47,4.759124088,137,,,azure;dotnet;aspnet-core;dotnet-core;dotnet-standard,developer,beginner
Describe endpoint security with Microsoft Intune,https://docs.microsoft.com/en-us/learn/modules/describe-endpoint-security-with-microsoft-intune/,5,"1,850","10,891",73.22%,"1,628","1,192","1,292",,381.3963889,12.36961261,19,4.918918919,74,,,mem-intune,business-user;student,beginner
Collaborate with Git,https://docs.microsoft.com/en-us/learn/modules/collaborate-with-git/,7,"1,978","15,992",73.59%,"1,617","1,190","1,365",31,503.4880556,15.27264071,44,4.784090909,176,807,669,azure;github,developer;student,beginner
Configure VPN Gateway,https://docs.microsoft.com/en-us/learn/modules/configure-vpn-gateway/,13,"1,734","24,008",75.10%,"1,578","1,185","1,339",1,697.0233333,24.11845444,39,4.88372093,43,,,azure-vpn-gateway,administrator,intermediate
Configure file and folder backups,https://docs.microsoft.com/en-us/learn/modules/configure-file-folder-backups/,8,"2,013","15,786",61.55%,"1,909","1,175","1,235",3,517.9083333,15.43691008,24,4.711111111,45,,,azure-backup,administrator,intermediate
